student_name,math_50,physics_100,chemistry_50,english_100,total_marks
A,20,60,25,67,54.25
B,30,67,39,48,63.25
C,40,48,20,90,64.5
D,35,90,20,59,64.75
E,49,59,30,88,76.25
F,25,88,40,45,65.75
G,39,45,35,60,63.25
H,20,60,25,67,54.25
I,20,67,39,48,58.25
J,30,48,20,90,59.5
K,40,90,20,59,67.25
L,35,59,30,88,69.25
M,49,88,40,45,77.75
N,25,45,35,60,56.25
O,39,60,20,90,67
P,20,67,30,59,56.5
Q,20,48,40,88,64
R,30,90,35,45,66.25
S,40,59,25,60,62.25
T,35,88,39,67,75.75
U,49,45,20,48,57.75
V,25,60,20,90,60
W,39,67,30,59,66
X,20,48,35,88,61.5
Y,48,90,20,45,67.75
Z,37,59,30,79,68
